route_id,origin_port,origin_country,origin_lat,origin_lng,destination_port,destination_country,destination_lat,destination_lng,carrier,service_type,product_category,container_type,currency,current_price_per_kg,previous_price_per_kg,transit_days,last_updated
RTE-001,Shanghai,China,31.2304,121.4737,Los Angeles,United States,33.7405,-118.2775,Maersk,standard,clothing,40ft,USD,1.42,1.25,18,2026-05-10
RTE-002,Rotterdam,Netherlands,51.9244,4.4777,New York,United States,40.7128,-74.0060,MSC,standard,vehicles,40ft,USD,2.10,2.35,12,2026-05-10
RTE-003,Dubai,United Arab Emirates,25.2048,55.2708,Felixstowe,United Kingdom,51.9542,1.3511,CMA CGM,express,food,20ft refrigerated,USD,1.80,1.80,16,2026-05-11
RTE-004,Santos,Brazil,-23.9608,-46.3336,Hamburg,Germany,53.5511,9.9937,Hapag-Lloyd,standard,food,20ft refrigerated,USD,1.15,,20,2026-05-11
RTE-005,Singapore,Singapore,1.3521,103.8198,Melbourne,Australia,-37.8136,144.9631,Evergreen,standard,electronics,40ft,USD,1.65,0,10,2026-05-09
RTE-006,Mumbai,India,19.0760,72.8777,Mombasa,Kenya,-4.0435,39.6682,ONE,standard,clothing,20ft,USD,0.95,1.05,14,2026-05-09
RTE-007,Ningbo,China,29.8683,121.5440,Long Beach,United States,33.7701,-118.1937,Maersk,standard,electronics,40ft,USD,1.58,1.45,17,2026-05-12
RTE-008,Qingdao,China,36.0671,120.3826,Vancouver,Canada,49.2827,-123.1207,COSCO,standard,furniture,40ft,USD,1.33,1.50,19,2026-05-12
RTE-009,Busan,South Korea,35.1796,129.0756,Seattle,United States,47.6062,-122.3321,ONE,express,electronics,40ft,USD,1.90,1.90,13,2026-05-12
RTE-010,Ho Chi Minh City,Vietnam,10.8231,106.6297,Oakland,United States,37.8044,-122.2712,MSC,standard,clothing,40ft,USD,1.22,0,22,2026-05-12
RTE-011,Jakarta,Indonesia,-6.2088,106.8456,Rotterdam,Netherlands,51.9244,4.4777,CMA CGM,standard,food,20ft refrigerated,USD,1.72,1.58,26,2026-05-13
RTE-012,Laem Chabang,Thailand,13.0833,100.8833,Hamburg,Germany,53.5511,9.9937,Hapag-Lloyd,standard,automotive parts,40ft,USD,1.48,1.62,28,2026-05-13
RTE-013,Tokyo,Japan,35.6762,139.6503,Los Angeles,United States,33.7405,-118.2775,Evergreen,express,vehicles,40ft,USD,2.42,2.42,11,2026-05-13
