route_id,reliability_pct,average_transit_days,delay_risk,port_congestion_level,sailings_per_week,transshipment_count,customs_complexity,fuel_surcharge_risk,weather_disruption_risk,operational_note
RTE-001,79,14,medium,medium,3,3,medium,medium,medium,Mock operational profile for RTE-001 based on seeded carrier and corridor risk signals.
RTE-002,86,19,high,high,5,2,low,low,low,Mock operational profile for RTE-002 based on seeded carrier and corridor risk signals.
RTE-003,93,24,medium,low,1,1,medium,high,high,Mock operational profile for RTE-003 based on seeded carrier and corridor risk signals.
RTE-004,76,29,low,medium,3,0,high,medium,low,Mock operational profile for RTE-004 based on seeded carrier and corridor risk signals.
RTE-005,83,34,medium,medium,5,3,medium,medium,medium,Mock operational profile for RTE-005 based on seeded carrier and corridor risk signals.
RTE-006,90,39,high,high,1,2,low,low,low,Mock operational profile for RTE-006 based on seeded carrier and corridor risk signals.
RTE-007,73,13,medium,low,3,1,medium,high,high,Mock operational profile for RTE-007 based on seeded carrier and corridor risk signals.
RTE-008,80,18,low,medium,5,0,high,medium,low,Mock operational profile for RTE-008 based on seeded carrier and corridor risk signals.
RTE-009,87,23,medium,medium,1,3,medium,medium,medium,Mock operational profile for RTE-009 based on seeded carrier and corridor risk signals.
RTE-010,94,28,high,high,3,2,low,low,low,Mock operational profile for RTE-010 based on seeded carrier and corridor risk signals.
RTE-011,77,33,medium,low,5,1,medium,high,high,Mock operational profile for RTE-011 based on seeded carrier and corridor risk signals.
RTE-012,84,38,low,medium,1,0,high,medium,low,Mock operational profile for RTE-012 based on seeded carrier and corridor risk signals.
RTE-013,91,12,medium,medium,3,3,medium,medium,medium,Mock operational profile for RTE-013 based on seeded carrier and corridor risk signals.
RTE-014,74,17,high,high,5,2,low,low,low,Mock operational profile for RTE-014 based on seeded carrier and corridor risk signals.
RTE-015,81,22,medium,low,1,1,medium,high,high,Mock operational profile for RTE-015 based on seeded carrier and corridor risk signals.
RTE-016,88,27,low,medium,3,0,high,medium,low,Mock operational profile for RTE-016 based on seeded carrier and corridor risk signals.
RTE-017,95,32,medium,medium,5,3,medium,medium,medium,Mock operational profile for RTE-017 based on seeded carrier and corridor risk signals.
RTE-018,78,37,high,high,1,2,low,low,low,Mock operational profile for RTE-018 based on seeded carrier and corridor risk signals.
RTE-019,85,11,medium,low,3,1,medium,high,high,Mock operational profile for RTE-019 based on seeded carrier and corridor risk signals.
RTE-020,92,16,low,medium,5,0,high,medium,low,Mock operational profile for RTE-020 based on seeded carrier and corridor risk signals.
RTE-021,75,21,medium,medium,1,3,medium,medium,medium,Mock operational profile for RTE-021 based on seeded carrier and corridor risk signals.
RTE-022,82,26,high,high,3,2,low,low,low,Mock operational profile for RTE-022 based on seeded carrier and corridor risk signals.
RTE-023,89,31,medium,low,5,1,medium,high,high,Mock operational profile for RTE-023 based on seeded carrier and corridor risk signals.
RTE-024,72,36,low,medium,1,0,high,medium,low,Mock operational profile for RTE-024 based on seeded carrier and corridor risk signals.
RTE-025,79,10,medium,medium,3,3,medium,medium,medium,Mock operational profile for RTE-025 based on seeded carrier and corridor risk signals.
RTE-026,86,15,high,high,5,2,low,low,low,Mock operational profile for RTE-026 based on seeded carrier and corridor risk signals.
RTE-027,93,20,medium,low,1,1,medium,high,high,Mock operational profile for RTE-027 based on seeded carrier and corridor risk signals.
RTE-028,76,25,low,medium,3,0,high,medium,low,Mock operational profile for RTE-028 based on seeded carrier and corridor risk signals.
RTE-029,83,30,medium,medium,5,3,medium,medium,medium,Mock operational profile for RTE-029 based on seeded carrier and corridor risk signals.
RTE-030,90,35,high,high,1,2,low,low,low,Mock operational profile for RTE-030 based on seeded carrier and corridor risk signals.
RTE-031,73,9,medium,low,3,1,medium,high,high,Mock operational profile for RTE-031 based on seeded carrier and corridor risk signals.
RTE-032,80,14,low,medium,5,0,high,medium,low,Mock operational profile for RTE-032 based on seeded carrier and corridor risk signals.
RTE-033,87,19,medium,medium,1,3,medium,medium,medium,Mock operational profile for RTE-033 based on seeded carrier and corridor risk signals.
RTE-034,94,24,high,high,3,2,low,low,low,Mock operational profile for RTE-034 based on seeded carrier and corridor risk signals.
RTE-035,77,29,medium,low,5,1,medium,high,high,Mock operational profile for RTE-035 based on seeded carrier and corridor risk signals.
RTE-036,84,34,low,medium,1,0,high,medium,low,Mock operational profile for RTE-036 based on seeded carrier and corridor risk signals.
RTE-037,91,39,medium,medium,3,3,medium,medium,medium,Mock operational profile for RTE-037 based on seeded carrier and corridor risk signals.
RTE-038,74,13,high,high,5,2,low,low,low,Mock operational profile for RTE-038 based on seeded carrier and corridor risk signals.
RTE-039,81,18,medium,low,1,1,medium,high,high,Mock operational profile for RTE-039 based on seeded carrier and corridor risk signals.
RTE-040,88,23,low,medium,3,0,high,medium,low,Mock operational profile for RTE-040 based on seeded carrier and corridor risk signals.
RTE-041,95,28,medium,medium,5,3,medium,medium,medium,Mock operational profile for RTE-041 based on seeded carrier and corridor risk signals.
RTE-042,78,33,high,high,1,2,low,low,low,Mock operational profile for RTE-042 based on seeded carrier and corridor risk signals.
RTE-043,85,38,medium,low,3,1,medium,high,high,Mock operational profile for RTE-043 based on seeded carrier and corridor risk signals.
RTE-044,92,12,low,medium,5,0,high,medium,low,Mock operational profile for RTE-044 based on seeded carrier and corridor risk signals.
RTE-045,75,17,medium,medium,1,3,medium,medium,medium,Mock operational profile for RTE-045 based on seeded carrier and corridor risk signals.
RTE-046,82,22,high,high,3,2,low,low,low,Mock operational profile for RTE-046 based on seeded carrier and corridor risk signals.
RTE-047,89,27,medium,low,5,1,medium,high,high,Mock operational profile for RTE-047 based on seeded carrier and corridor risk signals.
RTE-048,72,32,low,medium,1,0,high,medium,low,Mock operational profile for RTE-048 based on seeded carrier and corridor risk signals.
RTE-049,79,37,medium,medium,3,3,medium,medium,medium,Mock operational profile for RTE-049 based on seeded carrier and corridor risk signals.
RTE-050,86,11,high,high,5,2,low,low,low,Mock operational profile for RTE-050 based on seeded carrier and corridor risk signals.
RTE-051,93,16,medium,low,1,1,medium,high,high,Mock operational profile for RTE-051 based on seeded carrier and corridor risk signals.
RTE-052,76,21,low,medium,3,0,high,medium,low,Mock operational profile for RTE-052 based on seeded carrier and corridor risk signals.
RTE-053,83,26,medium,medium,5,3,medium,medium,medium,Mock operational profile for RTE-053 based on seeded carrier and corridor risk signals.
RTE-054,90,31,high,high,1,2,low,low,low,Mock operational profile for RTE-054 based on seeded carrier and corridor risk signals.
RTE-055,73,36,medium,low,3,1,medium,high,high,Mock operational profile for RTE-055 based on seeded carrier and corridor risk signals.
RTE-056,80,10,low,medium,5,0,high,medium,low,Mock operational profile for RTE-056 based on seeded carrier and corridor risk signals.
RTE-057,87,15,medium,medium,1,3,medium,medium,medium,Mock operational profile for RTE-057 based on seeded carrier and corridor risk signals.
RTE-058,94,20,high,high,3,2,low,low,low,Mock operational profile for RTE-058 based on seeded carrier and corridor risk signals.
RTE-059,77,25,medium,low,5,1,medium,high,high,Mock operational profile for RTE-059 based on seeded carrier and corridor risk signals.
RTE-060,84,30,low,medium,1,0,high,medium,low,Mock operational profile for RTE-060 based on seeded carrier and corridor risk signals.
RTE-061,91,35,medium,medium,3,3,medium,medium,medium,Mock operational profile for RTE-061 based on seeded carrier and corridor risk signals.
RTE-062,74,9,high,high,5,2,low,low,low,Mock operational profile for RTE-062 based on seeded carrier and corridor risk signals.
RTE-063,81,14,medium,low,1,1,medium,high,high,Mock operational profile for RTE-063 based on seeded carrier and corridor risk signals.
RTE-064,88,19,low,medium,3,0,high,medium,low,Mock operational profile for RTE-064 based on seeded carrier and corridor risk signals.
RTE-065,95,24,medium,medium,5,3,medium,medium,medium,Mock operational profile for RTE-065 based on seeded carrier and corridor risk signals.
RTE-066,78,29,high,high,1,2,low,low,low,Mock operational profile for RTE-066 based on seeded carrier and corridor risk signals.
RTE-067,85,34,medium,low,3,1,medium,high,high,Mock operational profile for RTE-067 based on seeded carrier and corridor risk signals.
RTE-068,92,39,low,medium,5,0,high,medium,low,Mock operational profile for RTE-068 based on seeded carrier and corridor risk signals.
RTE-069,75,13,medium,medium,1,3,medium,medium,medium,Mock operational profile for RTE-069 based on seeded carrier and corridor risk signals.
RTE-070,82,18,high,high,3,2,low,low,low,Mock operational profile for RTE-070 based on seeded carrier and corridor risk signals.
RTE-071,89,23,medium,low,5,1,medium,high,high,Mock operational profile for RTE-071 based on seeded carrier and corridor risk signals.
RTE-072,72,28,low,medium,1,0,high,medium,low,Mock operational profile for RTE-072 based on seeded carrier and corridor risk signals.
RTE-073,79,33,medium,medium,3,3,medium,medium,medium,Mock operational profile for RTE-073 based on seeded carrier and corridor risk signals.
RTE-074,86,38,high,high,5,2,low,low,low,Mock operational profile for RTE-074 based on seeded carrier and corridor risk signals.
RTE-075,93,12,medium,low,1,1,medium,high,high,Mock operational profile for RTE-075 based on seeded carrier and corridor risk signals.
RTE-076,76,17,low,medium,3,0,high,medium,low,Mock operational profile for RTE-076 based on seeded carrier and corridor risk signals.
RTE-077,83,22,medium,medium,5,3,medium,medium,medium,Mock operational profile for RTE-077 based on seeded carrier and corridor risk signals.
RTE-078,90,27,high,high,1,2,low,low,low,Mock operational profile for RTE-078 based on seeded carrier and corridor risk signals.
RTE-079,73,32,medium,low,3,1,medium,high,high,Mock operational profile for RTE-079 based on seeded carrier and corridor risk signals.
RTE-080,80,37,low,medium,5,0,high,medium,low,Mock operational profile for RTE-080 based on seeded carrier and corridor risk signals.
RTE-081,87,11,medium,medium,1,3,medium,medium,medium,Mock operational profile for RTE-081 based on seeded carrier and corridor risk signals.
RTE-082,94,16,high,high,3,2,low,low,low,Mock operational profile for RTE-082 based on seeded carrier and corridor risk signals.
RTE-083,77,21,medium,low,5,1,medium,high,high,Mock operational profile for RTE-083 based on seeded carrier and corridor risk signals.
RTE-084,84,26,low,medium,1,0,high,medium,low,Mock operational profile for RTE-084 based on seeded carrier and corridor risk signals.
RTE-085,91,31,medium,medium,3,3,medium,medium,medium,Mock operational profile for RTE-085 based on seeded carrier and corridor risk signals.
RTE-086,74,36,high,high,5,2,low,low,low,Mock operational profile for RTE-086 based on seeded carrier and corridor risk signals.
RTE-087,81,10,medium,low,1,1,medium,high,high,Mock operational profile for RTE-087 based on seeded carrier and corridor risk signals.
RTE-088,88,15,low,medium,3,0,high,medium,low,Mock operational profile for RTE-088 based on seeded carrier and corridor risk signals.
RTE-089,95,20,medium,medium,5,3,medium,medium,medium,Mock operational profile for RTE-089 based on seeded carrier and corridor risk signals.
RTE-090,78,25,high,high,1,2,low,low,low,Mock operational profile for RTE-090 based on seeded carrier and corridor risk signals.
RTE-091,85,30,medium,low,3,1,medium,high,high,Mock operational profile for RTE-091 based on seeded carrier and corridor risk signals.
RTE-092,92,35,low,medium,5,0,high,medium,low,Mock operational profile for RTE-092 based on seeded carrier and corridor risk signals.
RTE-093,75,9,medium,medium,1,3,medium,medium,medium,Mock operational profile for RTE-093 based on seeded carrier and corridor risk signals.
RTE-094,82,14,high,high,3,2,low,low,low,Mock operational profile for RTE-094 based on seeded carrier and corridor risk signals.
